,page_link,product_name,item_no,description,style,material,type_class,color,rating
0,https://www.overstock.com/Home-Garden/Meena-Buttoned-Mid-Century-Modern-Fabric-Club-Chair-by-Christopher-Knight-Home/17019627/product.html?refccid=XXMJCI7TDDEKEGCG4U4NCDMJ5E&searchidx=0,Meena Buttoned Mid Century Modern Fabric Club Chair by Christopher Knight Home,23299271,"This plush, bucket-shaped armchair offers a soft and inviting place from which to kick up your feet and relax. Combining mid century modern elegance with the most comfortable and durable of materials, this is a wonderful addition to any home, and one sure to elicit complements from visitors.","Mid-Century Modern, Modern & Contemporary","Fabric, Wood","Arm Chairs, Club Chairs","Blue, Grey, Orange, Purple",4.3
1,https://www.overstock.com/Home-Garden/Palm-Canyon-Chorro-Wooden-Leg-Mid-century-Armchair/8768254/product.html?refccid=XXMJCI7TDDEKEGCG4U4NCDMJ5E&searchidx=1,Palm Canyon Chorro Wooden Leg Mid-century Armchair,16009691,"Give your decor a chic retro flair with this armchair. Featuring tapered wooden legs, button tufting, and fabric upholstery in a range of color options, the armchair lends a mid-century touch of style to any decor. Thick foam-filled cushions ensure lasting comfort.","Mid-Century Modern, Modern & Contemporary","Fabric, Upholstered, Wood",Arm Chairs,"Beige, Blue, Brown, Green, Grey, Red, White, Yellow",4.5
2,https://www.overstock.com/Home-Garden/Brice-Vintage-Scroll-Arm-Studded-Fabric-Club-Chair-by-Christopher-Knight-Home/18122422/product.html?refccid=XXMJCI7TDDEKEGCG4U4NCDMJ5E&searchidx=2,Brice Vintage Scroll Arm Studded Fabric Club Chair by Christopher Knight Home,24276411,"A real showstopper, this beautifully upholstered armchair will place you and your guests in the lap of luxury. Crafted from the highest quality materials to exacting standards, this is a piece you will treasure for years to come.","Modern & Contemporary, Traditional","Fabric, Polyester, Wood",Club Chairs,"Blue, Brown, Grey, Red",4.1
3,https://www.overstock.com/Home-Garden/Stones-Stripes-Sophie-Floral-Accent-Chair/20254023/product.html?refccid=XXMJCI7TDDEKEGCG4U4NCDMJ5E&searchidx=3,Stones & Stripes Sophie Floral Accent Chair,20254023,"This Sophie armchair from Stones & Stripes is ideal for someone looking to brighten up their home with a cool, bohemian floral pattern. Purple, pink, blue, and cream colors come together to give your space a shot of energy and give you a comfortable place to sit and rest. Add a colorful throw or some accent pillows to really change up the look of your room. ",Bohemian & Eclectic,Wood,Accent Chairs,White,4.4
4,https://www.overstock.com/Home-Garden/Clay-Alder-Home-Alvord-Dana-Orange-Medallion-Arm-Chair/20255030/product.html?refccid=XXMJCI7TDDEKEGCG4U4NCDMJ5E&searchidx=4,Clay Alder Home Alvord Dana Orange Medallion Arm Chair,20255030,"This armchair from Clay Alder features independently-wrapped pocket coils and fiber filling to provide firm, comfortable support. The classically shaped chair is upholstered in bright orange and white polyester, giving this piece transitional style. A dark espresso finish graces the legs of the chair and offers a perfect contrast to the light upholstery. ",Round Arms,Polyester Blend,"Accent Chairs, Arm Chairs, Club Chairs","Cream, Orange",4.3
5,https://www.overstock.com/Home-Garden/Laird-Winged-Tufted-Studded-Fabric-Club-Chair-by-Christopher-Knight-Home/17717023/product.html?refccid=XXMJCI7TDDEKEGCG4U4NCDMJ5E&searchidx=5,Laird Winged Tufted Studded Fabric Club Chair by Christopher Knight Home,23921728,"This antique-styled armchair brings an unmistakable dignity to any living room. The tufted back and decorative trim give it the feel of a real period piece. Constructed to the highest quality standards, this piece will last long enough to become a part of the family.","Mid-Century Modern, Modern & Contemporary","Fabric, Wood","Arm Chairs, Club Chairs","Beige, Blue, Grey",3.6
6,https://www.overstock.com/Home-Garden/Oliver-James-Allington-Button-tufted-Armchair-Set-of-2/12755289/product.html?refccid=XXMJCI7TDDEKEGCG4U4NCDMJ5E&searchidx=6,Oliver & James Allington Button-tufted Armchair (Set of 2),19531335,"Create a cohesive, contemporary seating area with the help of these Allington armchairs. Featuring rounded backs and smooth polyester upholstery, each rubberwood chair is padded with high-density foam for ultimate comfort. Choose from four fabric colors, that are all accented with classic button tufting for depth.","Contemporary, Mid-Century, Modern","Fabric, Plastic, Polyester, Rubberwood","Accent Chairs, Arm Chairs, Sets","Beige, Grey, Off-White",4.5
7,https://www.overstock.com/Home-Garden/Handy-Living-Taupe-grey-Linen-Swivel-Glider-Square-back-Armchair-and-Ottoman/18680098/product.html?refccid=XXMJCI7TDDEKEGCG4U4NCDMJ5E&searchidx=7,Handy Living Taupe-grey Linen Swivel Glider Square-back Armchair and Ottoman,24772703,"Relax in style with this armchair and ottoman set from Handy Living. Designed with a matching ottoman, this chair is constructed with a mixed hardwood frame for durability, and the neutral taupe hue blends well with your current decor.","Traditional, Transitional",Foam,Glider and Ottoman Set,Taupe,4.3
8,https://www.overstock.com/Home-Garden/Handy-Living-Mira-Summer-Aqua-Blue-Stripe-Arm-Chair-and-Ottoman/8224235/product.html?refccid=XXMJCI7TDDEKEGCG4U4NCDMJ5E&searchidx=8,Handy Living Mira Summer Aqua Blue Stripe Arm Chair and Ottoman,15554863,"Comfort and style is what you'll find with this quality upholstered armchair. A welcome addition to a living room or tucked in the corner of a bedroom, this chair is perfect for small spaces. The upholstered ottoman gives your feet a place to rest, making this striped armchair a must have.",Transitional,"Fabric, Polyester","Arm Chairs, Chair & Ottoman Sets, Club Chairs","Blue, Brown, Cream",4.4
9,https://www.overstock.com/Home-Garden/Abbyson-Tuscan-Top-Grain-Leather-Chesterfield-Armchair/8230102/product.html?refccid=XXMJCI7TDDEKEGCG4U4NCDMJ5E&searchidx=9,Abbyson Tuscan Top Grain Leather Chesterfield Armchair,15559673,"Add style and sophistication to your living area with this attractive armchair from Abbyson. This armchair is constructed from top grain leather and kiln-dried wood. It features tufted back cushions and hand-stitched details. By adding the matching chair, you can create an envious look for your home.",Traditional,"Foam, Leather, Wood",Arm Chairs,"Blue, Brown, Burgundy, Taupe",4.6
