,page_link,product_name,item_no,description,style,material,type_class,color,rating
0,https://www.overstock.com/Home-Garden/Foldable-Storage-Cube-Ottoman-Stool-2-Piece-Set/18183033/product.html?refccid=JI4WMHOIQPFLANKAMJINBHF4MU&searchidx=0,"Foldable Storage Cube Ottoman Stool, 2-Piece Set",24329221,"This functional suede like storage ottoman is the perfect accessory for your home. Store your favorite devices and items in not just one, but two foldable storage ottomans. The soft and plush tufted lid is very comfortable which makes it great for resting your feet after a long day or can act as an additional seat when space is limited. Durable construction defines the very essence of this piece, boasting a weight capacity of up to 220lbs. This functional and moderately sized storage ottoman has multiples uses and is perfect for living rooms, crafts spaces, kids' rooms, and so much more. The spacious interior storage space measures 13.75"" H x 14.15"" W x 14.15"" D. • Two Foldable Store Ottomans: Measures 16.9"" H x 15.75"" W x 15.75"" D and is the perfect addition to your living space • Ample Storage Space: Spacious interior can hold a multitude of items such a magazines, toys, crafts, throw blankets, and so much more. • Modern Design: This suede like storage ottoman features a plush tufted lid, which makes for a comfortable seat • Quality Construction: This ottoman was designed to be durable compared to other foldable storage ottomans, and can hold up to 220lbs",,Fabric,"Foot Stool, Storage Cube","Blue, Green, Grey, Purple",4.9
1,https://www.overstock.com/Home-Garden/The-Curated-Nomad-Aptos-Handmade-Moroccan-Leather-Pouf-Authentic-Ottoman/22580933/product.html?refccid=JI4WMHOIQPFLANKAMJINBHF4MU&searchidx=1,The Curated Nomad Aptos Handmade Moroccan Leather Pouf Authentic Ottoman,22580933,"Bring a little decadence into your space with this quaint and sumptuous ottoman. The supreme, luxurious leather is hand stitched by artisans for a lovely, homespun feel you can enjoy for years to come.",Bohemian & Eclectic,Leather,"Pouf, Standard Ottoman","Blue, Brown, Grey, Orange, Pink, Red, White, Yellow",4.5
2,https://www.overstock.com/Home-Garden/Malibu-Round-Fabric-Ottoman-Pouf-by-Christopher-Knight-Home/14741731/product.html?refccid=JI4WMHOIQPFLANKAMJINBHF4MU&searchidx=2,Malibu Round Fabric Ottoman Pouf by Christopher Knight Home,21268635,Soften the look and feel of your living space with this fabric ottoman on display. This contemporary-styled fabric and wool ottoman boasts a handwoven style in a solid pattern to coordinate with your decor.,Modern & Contemporary,"Fabric, Wool","Foot Stool, Pouf, Standard Ottoman","Grey, Off-White",4.5
3,https://www.overstock.com/Home-Garden/Handmade-Moroccan-Leather-Pouf-Ottoman-Morocco/10234844/product.html?refccid=JI4WMHOIQPFLANKAMJINBHF4MU&searchidx=3,Handmade Moroccan Leather Pouf Ottoman (Morocco),17355421,"Fashionable and functional, this authentic Moroccan leather poufcan be used as an ottoman or casual seating and makes an elegantdecor accent. It is crafted of top grain leather from the tanneriesof Marrakech. Each pouf is individually made with subtle variationsinherent in authentic artisan-made products. Bottom zipper. Thesepoufs are generously filled with 100-percent cotton batting forsuperior firmness and durability. This piece measures approximately13.5 inches high x 20 inches diameter, filled.","Bohemian & Eclectic, Pouf",Leather,"Cocktail Ottoman, Foot Stool, Pouf, Standard Ottoman","Black, Blue, Brown, Green, Grey, Orange, Pink, Red, White, Yellow",4.6
4,https://www.overstock.com/Home-Garden/Havenside-Home-Surfside-Solid-Pattern-Bleached-sand-Wool-16-inch-Pouf/20487977/product.html?refccid=JI4WMHOIQPFLANKAMJINBHF4MU&searchidx=4,Havenside Home Surfside Solid Pattern Bleached sand Wool 16-inch Pouf,20487977,"Capture the laid back island vibe with the coastal design of this pouf by Havenside Home. Handmade with wool material, this pouf is a versatile piece that can be used as a footrest, extra seating, or simply as an accent piece.",Scandinavian,Wool,"Foot Stool, Pouf",Brown,5.0
5,https://www.overstock.com/Home-Garden/Porch-Den-Victoria-Park-Las-Olas-White-Cube-Ottoman-Set-of-2/20543358/product.html?refccid=JI4WMHOIQPFLANKAMJINBHF4MU&searchidx=5,Porch & Den Victoria Park Las Olas White Cube Ottoman (Set of 2),20543358,"This set of Victoria Park Las Olas white ottomans from Porch & Den will be a perfect addition to your living room. Place these tufted white leather ottomans in front of your sofa or loveseat so you can kick up your feet and rest comfortably while you watch a movie. These ottomans are lightweight, easy to move, and have black plastic feet to protect the upholstery from getting dirty on the floor. ",Modern & Contemporary,"Faux Leather, Wood",Storage Cube,White,4.6
6,https://www.overstock.com/Home-Garden/Madison-Park-Taylor-Seafoam-Oversized-Round-Pouf-Ottoman/14636696/product.html?refccid=JI4WMHOIQPFLANKAMJINBHF4MU&searchidx=6,Madison Park Taylor Seafoam Oversized Round Pouf Ottoman,21176505,"This oversized ottoman pouf will make a statement in any home. Filled with polystyrene beads, this round ottoman is soft to the touch and comfortable to sit on. Its distinctive stitching pattern and vibrant color adds style to any room. No assembly required.",Casual,Polyester,"Pouf, Standard Ottoman",Green,4.8
7,https://www.overstock.com/Home-Garden/Stuffed-Handmade-Genuine-Leather-Moroccan-Pouf-Ottoman/18124103/product.html?refccid=JI4WMHOIQPFLANKAMJINBHF4MU&searchidx=7,"Stuffed Handmade Genuine Leather Moroccan Pouf, Ottoman",24277842,"Handmade by artisans in Morocco, this one of a kind pouf will add eclectic flair to your contemporary space. The genuine leather features hand-stitched details and is stuffed with strong cotton filling to stand the test of time. Choose from eight hand-dyed hues to pair perfectly with your unique aesthetic.",Pouf,Leather,"Pouf, Standard Ottoman","Black, Blue, Green, Grey, Orange, Tan, White, Yellow",4.8
8,https://www.overstock.com/Home-Garden/Havenside-Home-Eastport-Round-Storage-Ottoman/20931380/product.html?refccid=JI4WMHOIQPFLANKAMJINBHF4MU&searchidx=8,Havenside Home Eastport Round Storage Ottoman,20931380,"Embrace a global style with the eco-friendly Eastport storage ottoman from Havenside Home. Woven with banana leaves and available in 3 colors, this ottoman brings the freshness of the outdoors into your living room while offering extra storage for blankets.","Bohemian & Eclectic, Nautical & Coastal",Wood,"Cocktail Ottoman, Foot Stool, Standard Ottoman, Storage Cube, Storage Ottoman","Gold, Natural, Silver",4.7
9,https://www.overstock.com/Home-Garden/Madison-Park-Taylor-Orange-Oversized-Round-Pouf-Ottoman/14636698/product.html?refccid=JI4WMHOIQPFLANKAMJINBHF4MU&searchidx=9,Madison Park Taylor Orange Oversized Round Pouf Ottoman,21176506,"This oversized ottoman pouf will make a statement in any home. Filled with polystyrene beads, this round ottoman is soft to the touch and comfortable to sit on. Its distinctive stitching pattern and vibrant color adds style to any room. No assembly required.",Casual,Polyester,"Pouf, Standard Ottoman",Orange,4.8
