,link,type
0,https://www.overstock.com/Home-Garden/Meena-Buttoned-Mid-Century-Modern-Fabric-Club-Chair-by-Christopher-Knight-Home/17019627/product.html?refccid=XXMJCI7TDDEKEGCG4U4NCDMJ5E&searchidx=0,armchair
1,https://www.overstock.com/Home-Garden/Palm-Canyon-Chorro-Wooden-Leg-Mid-century-Armchair/8768254/product.html?refccid=XXMJCI7TDDEKEGCG4U4NCDMJ5E&searchidx=1,armchair
2,https://www.overstock.com/Home-Garden/Brice-Vintage-Scroll-Arm-Studded-Fabric-Club-Chair-by-Christopher-Knight-Home/18122422/product.html?refccid=XXMJCI7TDDEKEGCG4U4NCDMJ5E&searchidx=2,armchair
3,https://www.overstock.com/Home-Garden/Stones-Stripes-Sophie-Floral-Accent-Chair/20254023/product.html?refccid=XXMJCI7TDDEKEGCG4U4NCDMJ5E&searchidx=3,armchair
4,https://www.overstock.com/Home-Garden/Clay-Alder-Home-Alvord-Dana-Orange-Medallion-Arm-Chair/20255030/product.html?refccid=XXMJCI7TDDEKEGCG4U4NCDMJ5E&searchidx=4,armchair
5,https://www.overstock.com/Home-Garden/Laird-Winged-Tufted-Studded-Fabric-Club-Chair-by-Christopher-Knight-Home/17717023/product.html?refccid=XXMJCI7TDDEKEGCG4U4NCDMJ5E&searchidx=5,armchair
6,https://www.overstock.com/Home-Garden/Oliver-James-Allington-Button-tufted-Armchair-Set-of-2/12755289/product.html?refccid=XXMJCI7TDDEKEGCG4U4NCDMJ5E&searchidx=6,armchair
7,https://www.overstock.com/Home-Garden/Handy-Living-Taupe-grey-Linen-Swivel-Glider-Square-back-Armchair-and-Ottoman/18680098/product.html?refccid=XXMJCI7TDDEKEGCG4U4NCDMJ5E&searchidx=7,armchair
8,https://www.overstock.com/Home-Garden/Handy-Living-Mira-Summer-Aqua-Blue-Stripe-Arm-Chair-and-Ottoman/8224235/product.html?refccid=XXMJCI7TDDEKEGCG4U4NCDMJ5E&searchidx=8,armchair
9,https://www.overstock.com/Home-Garden/Abbyson-Tuscan-Top-Grain-Leather-Chesterfield-Armchair/8230102/product.html?refccid=XXMJCI7TDDEKEGCG4U4NCDMJ5E&searchidx=9,armchair
10,https://www.overstock.com/Home-Garden/Abbyson-Richfield-Top-Grain-Leather-Armchair/12322013/product.html?refccid=XXMJCI7TDDEKEGCG4U4NCDMJ5E&searchidx=10,armchair
11,https://www.overstock.com/Home-Garden/Boden-Tufted-Modern-Deco-Velvet-Armchair-by-Christopher-Knight-Home/17292693/product.html?refccid=XXMJCI7TDDEKEGCG4U4NCDMJ5E&searchidx=11,armchair
12,https://www.overstock.com/Home-Garden/Stones-Stripes-Tiburon-Grasshopper-Green-Arm-Chair/6349146/product.html?refccid=XXMJCI7TDDEKEGCG4U4NCDMJ5E&searchidx=12,armchair
13,https://www.overstock.com/Home-Garden/Abbyson-Madison-Burgundy-Top-grain-Leather-Pushback-Reclining-Armchair/5072510/product.html?refccid=XXMJCI7TDDEKEGCG4U4NCDMJ5E&searchidx=13,armchair
14,https://www.overstock.com/Home-Garden/Handy-Living-Grey-Microfiber-Swivel-Glider-Armchair/18659525/product.html?refccid=XXMJCI7TDDEKEGCG4U4NCDMJ5E&searchidx=14,armchair
15,https://www.overstock.com/Home-Garden/Abbyson-Richfield-Premium-Top-grain-Leather-Armchair-and-Ottoman-Set/5954357/product.html?refccid=XXMJCI7TDDEKEGCG4U4NCDMJ5E&searchidx=15,armchair
