,link,type
0,https://www.overstock.com/Home-Garden/The-Curated-Nomad-Aptos-Handmade-Moroccan-Leather-Pouf-Authentic-Ottoman/22580933/product.html?recset=75ceeaa7-c049-4c01-8cac-8f555c7d3a93&refccid=ILX4YFWGKKWKFB2FP62CBMPX4Y&searchidx=0&recalg=63&recidx=0,pouf
1,https://www.overstock.com/Home-Garden/Oliver-James-Pippin-Hand-knitted-Cotton-Pouf/19972738/product.html?recset=df94d1ac-680d-49c6-91c5-ffafece15cc7&refccid=ILX4YFWGKKWKFB2FP62CBMPX4Y&searchidx=1&recalg=63&recidx=1,pouf
2,https://www.overstock.com/Home-Garden/Madison-Park-Kelsey-Round-Pouff-Ottoman/20559011/product.html?recset=346e832b-1ea6-42b9-b1c4-3edcbe8a002e&refccid=ILX4YFWGKKWKFB2FP62CBMPX4Y&searchidx=2&recalg=63&recidx=2,pouf
3,https://www.overstock.com/Home-Garden/Moro-Cotton-knit-Fabric-Ottoman-Pouf-by-Christopher-Knight-Home/13623735/product.html?recset=6b190ab8-5730-415a-b162-de86e1c2dbf0&refccid=ILX4YFWGKKWKFB2FP62CBMPX4Y&searchidx=3&recalg=63&recidx=3,pouf
4,https://www.overstock.com/Home-Garden/Christopher-Knight-Home-Yuny-Round-Fabric-Ottoman-Pouf/14741699/product.html?recset=d8578dcb-2d10-46fb-9de1-6d45f2f24cf0&refccid=ILX4YFWGKKWKFB2FP62CBMPX4Y&searchidx=4&recalg=63&recidx=4,pouf
5,https://www.overstock.com/Home-Garden/Moroccan-Leather-Ottoman-Pouf/19972720/product.html?recset=b91114bf-6c7f-4645-920a-e9738f8cdd4f&refccid=ILX4YFWGKKWKFB2FP62CBMPX4Y&searchidx=5&recalg=63&recidx=5,pouf
6,https://www.overstock.com/Home-Garden/Madison-Park-Taylor-Seafoam-Oversized-Round-Pouf-Ottoman/14636696/product.html?recset=c8e8f9af-a692-4b78-adc5-f424ce22811f&refccid=ILX4YFWGKKWKFB2FP62CBMPX4Y&searchidx=6&recalg=63&recidx=6,pouf
7,https://www.overstock.com/Home-Garden/Majestic-Home-Goods-Links-Indoor-Outdoor-Ottoman-Pouf-16-L-x-16-W-x-17-H/11821027/product.html?recset=3297f784-b102-4b14-9e49-b4380c232425&refccid=ILX4YFWGKKWKFB2FP62CBMPX4Y&searchidx=7&recalg=63&recidx=7,pouf
8,https://www.overstock.com/Home-Garden/Hazel-Weaved-Fabric-Round-Ottoman-Pouf-by-Christopher-Knight-Home/14741729/product.html?recset=cbfd1050-b857-4cff-adb8-9e91758c10ea&refccid=ILX4YFWGKKWKFB2FP62CBMPX4Y&searchidx=8&recalg=63&recidx=8,pouf
9,https://www.overstock.com/Home-Garden/Handmade-Casual-Living-Indian-Cables-Orange-Pouf/19972721/product.html?recset=b9317f45-829d-4929-ad92-1484f3878114&refccid=ILX4YFWGKKWKFB2FP62CBMPX4Y&searchidx=9&recalg=63&recidx=9,pouf
10,https://www.overstock.com/Home-Garden/Majestic-Home-Goods-Trellis-Indoor-Outdoor-Ottoman-Pouf-Cube/11821741/product.html?recset=de42350e-a18e-4ffa-a052-f55ac0c806f5&refccid=ILX4YFWGKKWKFB2FP62CBMPX4Y&searchidx=10&recalg=63&recidx=10,pouf
11,https://www.overstock.com/Home-Garden/Artists-Loom-Indian-Pouf-18x18-x16/13447301/product.html?recset=7eeaa7d7-0ec3-4af9-b40e-518acac13806&refccid=ILX4YFWGKKWKFB2FP62CBMPX4Y&searchidx=11&recalg=63&recidx=11,pouf
12,https://www.overstock.com/Home-Garden/Hand-Crafted-Bryant-Houndstooth-24-inch-Large-Square-Pouf/9202752/product.html?recset=f9df4e5b-8158-41fd-81c1-3a340f808a69&refccid=ILX4YFWGKKWKFB2FP62CBMPX4Y&searchidx=12&recalg=63&recidx=12,pouf
