,link,type
0,https://www.overstock.com/Home-Garden/Clay-Alder-Home-Klingle-Grey-Velvet-Convert-a-Couch-Futon-Sofa-Sleeper/20254905/product.html?refccid=6YCE2DJ37ZWJL62OLCDFNVZGFU&searchidx=0,sofa
1,https://www.overstock.com/Home-Garden/Carson-Carrington-Brandbu-Mid-century-Fold-Down-Futon/20370480/product.html?refccid=6YCE2DJ37ZWJL62OLCDFNVZGFU&searchidx=1,sofa
2,https://www.overstock.com/Home-Garden/Knightsbridge-Tufted-Scroll-Arm-Chesterfield-Sofa-by-iNSPIRE-Q-Artisan/9242312/product.html?refccid=6YCE2DJ37ZWJL62OLCDFNVZGFU&searchidx=2,sofa
3,https://www.overstock.com/Home-Garden/Knightsbridge-Beige-Fabric-Button-Tufted-Chesterfield-Sofa-and-Seating-by-iNSPIRE-Q-Artisan/8763005/product.html?refccid=6YCE2DJ37ZWJL62OLCDFNVZGFU&searchidx=3,sofa
4,https://www.overstock.com/Home-Garden/Uptown-II-Modern-Sofa-by-iNSPIRE-Q-Classic/22377537/product.html?refccid=6YCE2DJ37ZWJL62OLCDFNVZGFU&searchidx=4,sofa
5,https://www.overstock.com/Home-Garden/Clay-Alder-Home-Pope-Street-Arm-Convert-a-Couch-Mocha-Tan-Microfiber-Futon-Sleeper-Sofa/20690019/product.html?refccid=6YCE2DJ37ZWJL62OLCDFNVZGFU&searchidx=5,sofa
6,https://www.overstock.com/Home-Garden/Clay-Alder-Home-Klingle-Chocolate-Brown-Velvet-Convert-a-Couch-Storage-Arm-Futon-Sofa-Sleeper/20254906/product.html?refccid=6YCE2DJ37ZWJL62OLCDFNVZGFU&searchidx=6,sofa
7,https://www.overstock.com/Home-Garden/Abbyson-Leyla-Turquoise-Top-Grain-Leather-Push-Back-Reclining-Sofa/16005086/product.html?refccid=6YCE2DJ37ZWJL62OLCDFNVZGFU&searchidx=7,sofa
8,https://www.overstock.com/Home-Garden/Elston-Linen-Tufted-Sloped-Track-Sofa-iNSPIRE-Q-Modern/8859663/product.html?refccid=6YCE2DJ37ZWJL62OLCDFNVZGFU&searchidx=8,sofa
9,https://www.overstock.com/Home-Garden/Oana-Oatmeal-Mid-Century-Tapered-Leg-Seating-Collection-with-Pillows-by-iNSPIRE-Q-Modern/16741289/product.html?refccid=6YCE2DJ37ZWJL62OLCDFNVZGFU&searchidx=9,sofa
